id,text,author
1,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein
2,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling
3,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein
4,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen
5,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe
6,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein
7,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide
8,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison
9,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt
10,"“A day without sunshine is like, you know, night.”",Steve Martin
11,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe
12,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling
13,"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein
14,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley
15,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss
16,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams
17,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel
18,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche
19,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain
20,“Life is what happens to us while we are making other plans.”,Allen Saunders
21,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda
22,“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson
23,"“If you judge people, you have no time to love them.”",Mother Teresa
24,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor
25,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson
26,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss
27,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein
28,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling
29,“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein
30,"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley
31,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss
32,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling
33,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley
34,“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa
35,"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling
36,“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz
37,“We read to know we're not alone.”,William Nicholson
38,“Any fool can know. The point is to understand.”,Albert Einstein
39,“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges
40,“It is never too late to be what you might have been.”,George Eliot
41,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin
42,“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis
43,“You believe lies so you eventually learn to trust no one but yourself.”,Marilyn Monroe
44,"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe
45,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein
46,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe
47,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",Marilyn Monroe
48,“Only in the darkness can you see the stars.”,Martin Luther King Jr.
49,"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling
50,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin
51,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein
52,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling
53,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein
54,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen
55,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe
56,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein
57,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide
58,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison
59,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt
60,"“A day without sunshine is like, you know, night.”",Steve Martin
61,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe
62,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling
63,"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein
64,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley
65,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss
66,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams
67,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel
68,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche
69,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain
70,“Life is what happens to us while we are making other plans.”,Allen Saunders
71,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda
72,“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson
73,"“If you judge people, you have no time to love them.”",Mother Teresa
74,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor
75,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson
76,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss
